Team,Player,Position
Chelsea FC,Thibaut Courtois,Goalkeeper
Chelsea FC,Asmir Begovic,Goalkeeper
Chelsea FC,Eduardo,Goalkeeper
Chelsea FC,Matej Delac,Goalkeeper
Chelsea FC,Jamal Blackman,Goalkeeper
Chelsea FC,César Azpilicueta,Defender
Chelsea FC,David Luiz,Defender
Chelsea FC,Andreas Christensen,Defender
Chelsea FC,Gary Cahill,Defender
Chelsea FC,Kurt Zouma,Defender
Chelsea FC,Nathan Aké,Defender
Chelsea FC,Tomas Kalas,Defender
Chelsea FC,Michael Hector,Defender
Chelsea FC,Kenneth Omeruo,Defender
Chelsea FC,Matt Miazga,Defender
Chelsea FC,John Terry,Defender
Chelsea FC,Marcos Alonso,Defender
Chelsea FC,Abdul Rahman Baba,Defender
Chelsea FC,Branislav Ivanovic,Defender
Chelsea FC,Todd Kane,Defender
Chelsea FC,Wallace Oliveira,Defender
Chelsea FC,Ola Aina,Defender
Chelsea FC,N'Golo Kanté,Midfielder
Chelsea FC,Nemanja Matic,Midfielder
Chelsea FC,Nathaniel Chalobah,Midfielder
Chelsea FC,Cesc Fàbregas,Midfielder
Chelsea FC,Mario Pasalic,Midfielder
Chelsea FC,Marco van Ginkel,Midfielder
Chelsea FC,Lewis Baker,Midfielder
Chelsea FC,Ruben Loftus-Cheek,Midfielder
Chelsea FC,Victorien Angban,Midfielder
Chelsea FC,Juan Cuadrado,Midfielder
Chelsea FC,Oscar,Midfielder
Chelsea FC,Lucas Piazón,Midfielder
Chelsea FC,Nathan,Midfielder
Chelsea FC,Danilo Pantic,Midfielder
Chelsea FC,Eden Hazard,Midfielder
Chelsea FC,Willian,Midfielder
Chelsea FC,Kenedy,Midfielder
Chelsea FC,Christian Atsu,Midfielder
Chelsea FC,Jérémie Boga,Midfielder
Chelsea FC,Cristian Cuevas,Midfielder
Chelsea FC,Pedro,Midfielder
Chelsea FC,Victor Moses,Midfielder
Chelsea FC,Bertrand Traoré,Midfielder
Chelsea FC,Diego Costa,Forward
Chelsea FC,Michy Batshuayi,Forward
Chelsea FC,Loïc Rémy,Forward
Chelsea FC,Dominic Solanke,Forward
Manchester City,Joe Hart,Goalkeeper
Manchester City,Claudio Bravo,Goalkeeper
Manchester City,Willy Caballero,Goalkeeper
Manchester City,Angus Gunn,Goalkeeper
Manchester City,John Stones,Defender
Manchester City,Nicolás Otamendi,Defender
Manchester City,Vincent Kompany,Defender
Manchester City,Eliaquim Mangala,Defender
Manchester City,Tosin Adarabioyo,Defender
Manchester City,Aleksandar Kolarov,Defender
Manchester City,Gaël Clichy,Defender
Manchester City,Oleksandr Zinchenko,Defender
Manchester City,Angeliño,Defender
Manchester City,Jesús Navas,Defender
Manchester City,Pablo Zabaleta,Defender
Manchester City,Bacary Sagna,Defender
Manchester City,Pablo Maffeo,Defender
Manchester City,Fernandinho,Midfielder
Manchester City,Fernando,Midfielder
Manchester City,İlkay Gündoğan,Midfielder
Manchester City,Fabian Delph,Midfielder
Manchester City,Yaya Touré,Midfielder
Manchester City,Aleix García,Midfielder
Manchester City,Kevin De Bruyne,Midfielder
Manchester City,David Silva,Midfielder
Manchester City,Samir Nasri,Midfielder
Manchester City,Nolito,Midfielder
Manchester City,Raheem Sterling,Midfielder
Manchester City,Leroy Sané,Midfielder
Manchester City,Brahim Díaz,Midfielder
Manchester City,Phil Foden,Midfielder
Manchester City,Sergio Agüero,Forward
Manchester City,Gabriel Jesus,Forward
Manchester City,Wilfried Bony,Forward
Manchester City,Kelechi Iheanacho,Forward
Tottenham Hotspur,Hugo Lloris,Goalkeeper
Tottenham Hotspur,Michel Vorm,Goalkeeper
Tottenham Hotspur,Pau López,Goalkeeper
Tottenham Hotspur,Luke McGee,Goalkeeper
Tottenham Hotspur,Alfie Whiteman,Goalkeeper
Tottenham Hotspur,Toby Alderweireld,Defender
Tottenham Hotspur,Jan Vertonghen,Defender
Tottenham Hotspur,Eric Dier,Defender
Tottenham Hotspur,Federico Fazio,Defender
Tottenham Hotspur,Cameron Carter-Vickers,Defender
Tottenham Hotspur,Ben Davies,Defender
Tottenham Hotspur,Kevin Wimmer,Defender
Tottenham Hotspur,Anton Walkes,Defender
Tottenham Hotspur,Danny Rose,Defender
Tottenham Hotspur,Kyle Walker,Defender
Tottenham Hotspur,Kieran Trippier,Defender
Tottenham Hotspur,Kyle Walker-Peters,Defender
Tottenham Hotspur,Victor Wanyama,Midfielder
Tottenham Hotspur,Nabil Bentaleb,Midfielder
Tottenham Hotspur,Filip Lesniak,Midfielder
Tottenham Hotspur,Moussa Sissoko,Midfielder
