team,player,event_type,reason,start_date,end_date,days,url
Chelsea FC,Thibaut Courtois,injury,Ankle injury,2017-04-13,2017-04-20,8 days,https://www.transfermarkt.co.uk/thibaut-courtois/profil/spieler/108390
Chelsea FC,Andreas Christensen,injury,Back problems,2017-05-09,2017-05-11,3 days,https://www.transfermarkt.co.uk/andreas-christensen/profil/spieler/196948
Chelsea FC,Andreas Christensen,injury,Back problems,2017-03-09,2017-03-11,3 days,https://www.transfermarkt.co.uk/andreas-christensen/profil/spieler/196948
Chelsea FC,Andreas Christensen,injury,Strain in the thigh and gluteal muscles,2016-10-17,2016-11-07,22 days,https://www.transfermarkt.co.uk/andreas-christensen/profil/spieler/196948
Chelsea FC,Kurt Zouma,injury,Cruciate ligament tear,2016-02-08,2016-11-21,288 days,https://www.transfermarkt.co.uk/kurt-zouma/profil/spieler/157509
Chelsea FC,Tomas Kalas,injury,Hamstring injury,2016-12-17,2017-01-07,22 days,https://www.transfermarkt.co.uk/tomas-kalas/profil/spieler/148657
Chelsea FC,Tomas Kalas,injury,unknown injury,2016-09-20,2016-10-23,34 days,https://www.transfermarkt.co.uk/tomas-kalas/profil/spieler/148657
Chelsea FC,Kenneth Omeruo,injury,unknown injury,2016-12-12,2016-12-26,15 days,https://www.transfermarkt.co.uk/kenneth-omeruo/profil/spieler/131708
Chelsea FC,Kenneth Omeruo,injury,unknown injury,2016-11-12,2016-11-20,9 days,https://www.transfermarkt.co.uk/kenneth-omeruo/profil/spieler/131708
Chelsea FC,John Terry,injury,strain,2016-11-22,2016-12-17,26 days,https://www.transfermarkt.co.uk/john-terry/profil/spieler/3160
Chelsea FC,John Terry,injury,Ankle injury,2016-09-11,2016-10-01,21 days,https://www.transfermarkt.co.uk/john-terry/profil/spieler/3160
Chelsea FC,John Terry,suspension,Red card suspension,2017-01-09,2017-01-15,7 days,https://www.transfermarkt.co.uk/john-terry/profil/spieler/3160
Chelsea FC,Abdul Rahman Baba,injury,Cruciate ligament tear,2017-01-19,2017-09-04,229 days,https://www.transfermarkt.co.uk/abdul-rahman-baba/profil/spieler/224884
Chelsea FC,Abdul Rahman Baba,injury,Meniscus damage,2017-01-19,2017-07-20,183 days,https://www.transfermarkt.co.uk/abdul-rahman-baba/profil/spieler/224884
Chelsea FC,Abdul Rahman Baba,suspension,Called up to national team,2017-01-03,2017-01-17,15 days,https://www.transfermarkt.co.uk/abdul-rahman-baba/profil/spieler/224884
Chelsea FC,Branislav Ivanovic,injury,Muscle injury,2016-10-09,2016-10-30,22 days,https://www.transfermarkt.co.uk/branislav-ivanovic/profil/spieler/36827
Chelsea FC,Todd Kane,injury,Cruciate ligament tear,2016-04-21,2017-02-04,290 days,https://www.transfermarkt.co.uk/todd-kane/profil/spieler/154287
Chelsea FC,N'Golo Kanté,suspension,Yellow card suspension,2016-12-18,2016-12-27,10 days,https://www.transfermarkt.co.uk/ngolo-kante/profil/spieler/225083
Chelsea FC,Nemanja Matic,injury,Knock,2016-11-27,2016-12-10,14 days,https://www.transfermarkt.co.uk/nemanja-matic/profil/spieler/74683
Chelsea FC,Cesc Fàbregas,injury,Thigh problems,2016-10-14,2016-11-18,36 days,https://www.transfermarkt.co.uk/cesc-fabregas/profil/spieler/8806
Chelsea FC,Marco van Ginkel,injury,Knee injury,2017-03-02,2017-03-09,8 days,https://www.transfermarkt.co.uk/marco-van-ginkel/profil/spieler/147034
Chelsea FC,Marco van Ginkel,injury,Knee injury,2016-08-05,2016-10-29,86 days,https://www.transfermarkt.co.uk/marco-van-ginkel/profil/spieler/147034
Chelsea FC,Oscar,injury,Ill,2016-12-08,2016-12-17,10 days,https://www.transfermarkt.co.uk/oscar/profil/spieler/85314
Chelsea FC,Lucas Piazón,injury,Broken jaw,2017-02-25,2017-04-03,38 days,https://www.transfermarkt.co.uk/lucas-piazon/profil/spieler/176485
Chelsea FC,Nathan,injury,Knee injury,2017-01-01,2017-01-19,19 days,https://www.transfermarkt.co.uk/nathan/profil/spieler/294798
Chelsea FC,Danilo Pantic,injury,Groin injury,2016-12-01,2017-02-02,64 days,https://www.transfermarkt.co.uk/danilo-pantic/profil/spieler/222830
Chelsea FC,Danilo Pantic,suspension,No eligibility,2016-08-12,2016-09-09,29 days,https://www.transfermarkt.co.uk/danilo-pantic/profil/spieler/222830
Chelsea FC,Eden Hazard,injury,Calf strain,2017-03-16,2017-03-30,15 days,https://www.transfermarkt.co.uk/eden-hazard/profil/spieler/50202
Chelsea FC,Eden Hazard,injury,Knock,2016-12-12,2016-12-15,4 days,https://www.transfermarkt.co.uk/eden-hazard/profil/spieler/50202
Chelsea FC,Kenedy,injury,Knee injury,2016-10-10,2017-01-27,110 days,https://www.transfermarkt.co.uk/kenedy/profil/spieler/281404
Chelsea FC,Jérémie Boga,injury,Muscle injury,2016-11-23,2016-12-02,10 days,https://www.transfermarkt.co.uk/jeremie-boga/profil/spieler/216569
Chelsea FC,Pedro,suspension,Yellow card suspension,2016-12-27,2017-01-01,6 days,https://www.transfermarkt.co.uk/pedro/profil/spieler/65278
Chelsea FC,Victor Moses,injury,Calf strain,2017-03-18,2017-04-07,21 days,https://www.transfermarkt.co.uk/victor-moses/profil/spieler/59866
Chelsea FC,Bertrand Traoré,injury,Leg injury,2016-12-02,2017-01-01,31 days,https://www.transfermarkt.co.uk/bertrand-traore/profil/spieler/131996
Chelsea FC,Bertrand Traoré,injury,Foot injury,2016-11-07,2016-11-16,10 days,https://www.transfermarkt.co.uk/bertrand-traore/profil/spieler/131996
Chelsea FC,Diego Costa,injury,Muscle fatigue,2016-11-07,2016-11-18,12 days,https://www.transfermarkt.co.uk/diego-costa/profil/spieler/44779
Chelsea FC,Diego Costa,suspension,Yellow card suspension,2016-12-18,2016-12-27,10 days,https://www.transfermarkt.co.uk/diego-costa/profil/spieler/44779
Chelsea FC,Loïc Rémy,injury,Calf strain,2016-11-17,2017-01-07,52 days,https://www.transfermarkt.co.uk/loic-remy/profil/spieler/45121
Chelsea FC,Loïc Rémy,injury,Hamstring injury,2016-09-05,2016-11-05,62 days,https://www.transfermarkt.co.uk/loic-remy/profil/spieler/45121
Manchester City,Claudio Bravo,injury,Calf muscle tear,2017-04-27,2017-06-23,58 days,https://www.transfermarkt.co.uk/claudio-bravo/profil/spieler/40423
Manchester City,Nicolás Otamendi,suspension,Yellow card suspension,2016-12-04,2016-12-11,8 days,https://www.transfermarkt.co.uk/nicolas-otamendi/profil/spieler/54781
Manchester City,Vincent Kompany,injury,Leg injury,2017-02-16,2017-03-06,19 days,https://www.transfermarkt.co.uk/vincent-kompany/profil/spieler/9594
Manchester City,Vincent Kompany,injury,Knee injury,2016-11-21,2017-01-02,43 days,https://www.transfermarkt.co.uk/vincent-kompany/profil/spieler/9594
Manchester City,Vincent Kompany,injury,Groin injury,2016-09-22,2016-10-24,33 days,https://www.transfermarkt.co.uk/vincent-kompany/profil/spieler/9594
Manchester City,Vincent Kompany,injury,Groin injury,2016-05-05,2016-09-15,134 days,https://www.transfermarkt.co.uk/vincent-kompany/profil/spieler/9594
Manchester City,Eliaquim Mangala,injury,Muscle injury,2016-12-22,2017-01-08,18 days,https://www.transfermarkt.co.uk/eliaquim-mangala/profil/spieler/90681
Manchester City,Eliaquim Mangala,injury,Achilles tendon problems,2016-10-03,2016-10-22,20 days,https://www.transfermarkt.co.uk/eliaquim-mangala/profil/spieler/90681
Manchester City,Gaël Clichy,injury,Back injury,2017-02-09,2017-03-01,21 days,https://www.transfermarkt.co.uk/gael-clichy/profil/spieler/7449
Manchester City,Oleksandr Zinchenko,injury,Toe injury,2017-04-21,2017-05-07,17 days,https://www.transfermarkt.co.uk/oleksandr-zinchenko/profil/spieler/203853
Manchester City,Oleksandr Zinchenko,injury,Calf strain,2016-12-19,2017-01-21,34 days,https://www.transfermarkt.co.uk/oleksandr-zinchenko/profil/spieler/203853
Manchester City,Oleksandr Zinchenko,injury,Knock,2016-08-26,2016-09-26,32 days,https://www.transfermarkt.co.uk/oleksandr-zinchenko/profil/spieler/203853
Manchester City,Bacary Sagna,injury,Groin strain,2017-03-19,2017-06-30,104 days,https://www.transfermarkt.co.uk/bacary-sagna/profil/spieler/26764
Manchester City,Bacary Sagna,injury,Hamstring injury,2016-10-12,2016-11-18,38 days,https://www.transfermarkt.co.uk/bacary-sagna/profil/spieler/26764
