Team,Player,Position
Chelsea FC,Thibaut Courtois,Goalkeeper
Chelsea FC,Asmir Begovic,Goalkeeper
Chelsea FC,Eduardo,Goalkeeper
Chelsea FC,Matej Delac,Goalkeeper
Chelsea FC,Jamal Blackman,Goalkeeper
Chelsea FC,César Azpilicueta,Centre-Back
Chelsea FC,David Luiz,Centre-Back
Chelsea FC,Andreas Christensen,Centre-Back
Chelsea FC,Gary Cahill,Centre-Back
Chelsea FC,Kurt Zouma,Centre-Back
Chelsea FC,Nathan Aké,Centre-Back
Chelsea FC,Tomas Kalas,Centre-Back
Chelsea FC,Michael Hector,Centre-Back
Chelsea FC,Kenneth Omeruo,Centre-Back
Chelsea FC,Matt Miazga,Centre-Back
Chelsea FC,John Terry,Centre-Back
Chelsea FC,Marcos Alonso,Left-Back
Chelsea FC,Abdul Rahman Baba,Left-Back
Chelsea FC,Branislav Ivanovic,Right-Back
Chelsea FC,Todd Kane,Right-Back
Chelsea FC,Wallace Oliveira,Right-Back
Chelsea FC,Ola Aina,Right-Back
Chelsea FC,N'Golo Kanté,Defensive Midfield
Chelsea FC,Nemanja Matic,Defensive Midfield
Chelsea FC,Nathaniel Chalobah,Defensive Midfield
Chelsea FC,Cesc Fàbregas,Central Midfield
Chelsea FC,Mario Pasalic,Central Midfield
Chelsea FC,Marco van Ginkel,Central Midfield
Chelsea FC,Lewis Baker,Central Midfield
Chelsea FC,Ruben Loftus-Cheek,Central Midfield
Chelsea FC,Victorien Angban,Central Midfield
Chelsea FC,Juan Cuadrado,Right Midfield
Chelsea FC,Oscar,Attacking Midfield
Chelsea FC,Lucas Piazón,Attacking Midfield
Chelsea FC,Nathan,Attacking Midfield
Chelsea FC,Danilo Pantic,Attacking Midfield
Chelsea FC,Eden Hazard,Left Winger
Chelsea FC,Willian,Left Winger
Chelsea FC,Kenedy,Left Winger
Chelsea FC,Christian Atsu,Left Winger
Chelsea FC,Jérémie Boga,Left Winger
Chelsea FC,Cristian Cuevas,Left Winger
Chelsea FC,Pedro,Right Winger
Chelsea FC,Victor Moses,Right Winger
Chelsea FC,Bertrand Traoré,Right Winger
Chelsea FC,Diego Costa,Centre-Forward
Chelsea FC,Michy Batshuayi,Centre-Forward
Chelsea FC,Loïc Rémy,Centre-Forward
Chelsea FC,Dominic Solanke,Centre-Forward
Manchester City,Joe Hart,Goalkeeper
Manchester City,Claudio Bravo,Goalkeeper
Manchester City,Willy Caballero,Goalkeeper
Manchester City,Angus Gunn,Goalkeeper
Manchester City,John Stones,Centre-Back
Manchester City,Nicolás Otamendi,Centre-Back
Manchester City,Vincent Kompany,Centre-Back
Manchester City,Eliaquim Mangala,Centre-Back
Manchester City,Tosin Adarabioyo,Centre-Back
Manchester City,Aleksandar Kolarov,Left-Back
Manchester City,Gaël Clichy,Left-Back
Manchester City,Oleksandr Zinchenko,Left-Back
Manchester City,Angeliño,Left-Back
Manchester City,Jesús Navas,Right-Back
Manchester City,Pablo Zabaleta,Right-Back
Manchester City,Bacary Sagna,Right-Back
Manchester City,Pablo Maffeo,Right-Back
Manchester City,Fernandinho,Defensive Midfield
Manchester City,Fernando,Defensive Midfield
Manchester City,İlkay Gündoğan,Central Midfield
Manchester City,Fabian Delph,Central Midfield
Manchester City,Yaya Touré,Central Midfield
Manchester City,Aleix García,Central Midfield
Manchester City,Kevin De Bruyne,Attacking Midfield
Manchester City,David Silva,Attacking Midfield
Manchester City,Samir Nasri,Attacking Midfield
Manchester City,Nolito,Left Winger
Manchester City,Raheem Sterling,Right Winger
Manchester City,Leroy Sané,Right Winger
Manchester City,Brahim Díaz,Right Winger
Manchester City,Phil Foden,Right Winger
Manchester City,Sergio Agüero,Centre-Forward
Manchester City,Gabriel Jesus,Centre-Forward
Manchester City,Wilfried Bony,Centre-Forward
Manchester City,Kelechi Iheanacho,Centre-Forward
Tottenham Hotspur,Hugo Lloris,Goalkeeper
Tottenham Hotspur,Michel Vorm,Goalkeeper
Tottenham Hotspur,Pau López,Goalkeeper
Tottenham Hotspur,Luke McGee,Goalkeeper
Tottenham Hotspur,Alfie Whiteman,Goalkeeper
Tottenham Hotspur,Toby Alderweireld,Centre-Back
Tottenham Hotspur,Jan Vertonghen,Centre-Back
Tottenham Hotspur,Eric Dier,Centre-Back
Tottenham Hotspur,Federico Fazio,Centre-Back
Tottenham Hotspur,Cameron Carter-Vickers,Centre-Back
Tottenham Hotspur,Ben Davies,Centre-Back
Tottenham Hotspur,Kevin Wimmer,Centre-Back
Tottenham Hotspur,Anton Walkes,Centre-Back
Tottenham Hotspur,Danny Rose,Left-Back
