team,player,event_type,reason,start_date,end_date,days,url
Chelsea FC,Thibaut Courtois,injury,Ankle injury,2017-04-13,2017-04-20,8 days,https://www.transfermarkt.co.uk/thibaut-courtois/profil/spieler/108390
Chelsea FC,Asmir Begovic,none,,,,,https://www.transfermarkt.co.uk/asmir-begovic/profil/spieler/33873
Chelsea FC,Eduardo,none,,,,,https://www.transfermarkt.co.uk/eduardo/profil/spieler/34159
Chelsea FC,Matej Delac,none,,,,,https://www.transfermarkt.co.uk/matej-delac/profil/spieler/60220
Chelsea FC,Jamal Blackman,none,,,,,https://www.transfermarkt.co.uk/jamal-blackman/profil/spieler/128898
Chelsea FC,César Azpilicueta,none,,,,,https://www.transfermarkt.co.uk/cesar-azpilicueta/profil/spieler/57500
Chelsea FC,David Luiz,none,,,,,https://www.transfermarkt.co.uk/david-luiz/profil/spieler/46741
Chelsea FC,Andreas Christensen,injury,Back problems,2017-05-09,2017-05-11,3 days,https://www.transfermarkt.co.uk/andreas-christensen/profil/spieler/196948
Chelsea FC,Andreas Christensen,injury,Back problems,2017-03-09,2017-03-11,3 days,https://www.transfermarkt.co.uk/andreas-christensen/profil/spieler/196948
Chelsea FC,Andreas Christensen,injury,Strain in the thigh and gluteal muscles,2016-10-17,2016-11-07,22 days,https://www.transfermarkt.co.uk/andreas-christensen/profil/spieler/196948
Chelsea FC,Kurt Zouma,injury,Cruciate ligament tear,2016-02-08,2016-11-21,288 days,https://www.transfermarkt.co.uk/kurt-zouma/profil/spieler/157509
Chelsea FC,Nathan Aké,none,,,,,https://www.transfermarkt.co.uk/nathan-ake/profil/spieler/177476
Chelsea FC,Tomas Kalas,injury,Hamstring injury,2016-12-17,2017-01-07,22 days,https://www.transfermarkt.co.uk/tomas-kalas/profil/spieler/148657
Chelsea FC,Tomas Kalas,injury,unknown injury,2016-09-20,2016-10-23,34 days,https://www.transfermarkt.co.uk/tomas-kalas/profil/spieler/148657
Chelsea FC,Kenneth Omeruo,injury,unknown injury,2016-12-12,2016-12-26,15 days,https://www.transfermarkt.co.uk/kenneth-omeruo/profil/spieler/131708
Chelsea FC,Kenneth Omeruo,injury,unknown injury,2016-11-12,2016-11-20,9 days,https://www.transfermarkt.co.uk/kenneth-omeruo/profil/spieler/131708
Chelsea FC,Matt Miazga,none,,,,,https://www.transfermarkt.co.uk/matt-miazga/profil/spieler/245893
Chelsea FC,John Terry,injury,strain,2016-11-22,2016-12-17,26 days,https://www.transfermarkt.co.uk/john-terry/profil/spieler/3160
Chelsea FC,John Terry,injury,Ankle injury,2016-09-11,2016-10-01,21 days,https://www.transfermarkt.co.uk/john-terry/profil/spieler/3160
Chelsea FC,John Terry,suspension,Red card suspension,2017-01-09,2017-01-15,7 days,https://www.transfermarkt.co.uk/john-terry/profil/spieler/3160
Chelsea FC,Marcos Alonso,none,,,,,https://www.transfermarkt.co.uk/marcos-alonso/profil/spieler/112515
Chelsea FC,Abdul Rahman Baba,injury,Cruciate ligament tear,2017-01-19,2017-09-04,229 days,https://www.transfermarkt.co.uk/abdul-rahman-baba/profil/spieler/224884
Chelsea FC,Abdul Rahman Baba,injury,Meniscus damage,2017-01-19,2017-07-20,183 days,https://www.transfermarkt.co.uk/abdul-rahman-baba/profil/spieler/224884
