team,player,event_type,reason,start_date,end_date,days,url
Chelsea FC,Kurt Zouma,injury,Cruciate ligament tear,2016-02-08,2016-11-21,288 days,https://www.transfermarkt.co.uk/kurt-zouma/profil/spieler/157509
Chelsea FC,Abdul Rahman Baba,injury,Cruciate ligament tear,2017-01-19,2017-09-04,229 days,https://www.transfermarkt.co.uk/abdul-rahman-baba/profil/spieler/224884
Chelsea FC,Abdul Rahman Baba,injury,Meniscus damage,2017-01-19,2017-07-20,183 days,https://www.transfermarkt.co.uk/abdul-rahman-baba/profil/spieler/224884
Chelsea FC,Todd Kane,injury,Cruciate ligament tear,2016-04-21,2017-02-04,290 days,https://www.transfermarkt.co.uk/todd-kane/profil/spieler/154287
Chelsea FC,Kenedy,injury,Knee injury,2016-10-10,2017-01-27,110 days,https://www.transfermarkt.co.uk/kenedy/profil/spieler/281404
Manchester City,Vincent Kompany,injury,Groin injury,2016-05-05,2016-09-15,134 days,https://www.transfermarkt.co.uk/vincent-kompany/profil/spieler/9594
Manchester City,Bacary Sagna,injury,Groin strain,2017-03-19,2017-06-30,104 days,https://www.transfermarkt.co.uk/bacary-sagna/profil/spieler/26764
Manchester City,İlkay Gündoğan,injury,Cruciate ligament tear,2016-12-15,2017-08-13,242 days,https://www.transfermarkt.co.uk/ilkay-gundogan/profil/spieler/53622
Manchester City,İlkay Gündoğan,injury,Dislocation of the kneecap,2016-05-02,2016-09-12,134 days,https://www.transfermarkt.co.uk/ilkay-gundogan/profil/spieler/53622
Manchester City,Fabian Delph,injury,Muscle injury,2016-09-01,2017-01-05,127 days,https://www.transfermarkt.co.uk/fabian-delph/profil/spieler/50362
Tottenham Hotspur,Danny Rose,injury,Knee medial ligament tear,2017-01-30,2017-10-17,261 days,https://www.transfermarkt.co.uk/danny-rose/profil/spieler/50174
Tottenham Hotspur,Mousa Dembélé,suspension,Suspension through sports court,2016-05-06,2016-09-11,129 days,https://www.transfermarkt.co.uk/mousa-dembele/profil/spieler/19368
Tottenham Hotspur,Ryan Mason,injury,Skull fracture,2017-01-22,2018-02-13,388 days,https://www.transfermarkt.co.uk/ryan-mason/profil/spieler/61834
Tottenham Hotspur,Erik Lamela,injury,Hip injury,2016-10-24,2017-11-16,389 days,https://www.transfermarkt.co.uk/erik-lamela/profil/spieler/111630
Tottenham Hotspur,Marcus Edwards,injury,Ankle injury,2016-10-15,2017-01-31,109 days,https://www.transfermarkt.co.uk/marcus-edwards/profil/spieler/314367
Arsenal FC,Gabriel Paulista,injury,Knee injury,2017-05-21,2017-09-06,109 days,https://www.transfermarkt.co.uk/gabriel-paulista/profil/spieler/149498
Arsenal FC,Per Mertesacker,injury,Knee injury,2016-07-21,2017-01-27,191 days,https://www.transfermarkt.co.uk/per-mertesacker/profil/spieler/6710
