Team,Player,URL
Chelsea FC,Thibaut Courtois,https://www.transfermarkt.co.uk/thibaut-courtois/profil/spieler/108390
Chelsea FC,Asmir Begovic,https://www.transfermarkt.co.uk/asmir-begovic/profil/spieler/33873
Chelsea FC,Eduardo,https://www.transfermarkt.co.uk/eduardo/profil/spieler/34159
Chelsea FC,Matej Delac,https://www.transfermarkt.co.uk/matej-delac/profil/spieler/60220
Chelsea FC,Jamal Blackman,https://www.transfermarkt.co.uk/jamal-blackman/profil/spieler/128898
Chelsea FC,César Azpilicueta,https://www.transfermarkt.co.uk/cesar-azpilicueta/profil/spieler/57500
Chelsea FC,David Luiz,https://www.transfermarkt.co.uk/david-luiz/profil/spieler/46741
Chelsea FC,Andreas Christensen,https://www.transfermarkt.co.uk/andreas-christensen/profil/spieler/196948
Chelsea FC,Gary Cahill,https://www.transfermarkt.co.uk/gary-cahill/profil/spieler/27511
Chelsea FC,Kurt Zouma,https://www.transfermarkt.co.uk/kurt-zouma/profil/spieler/157509
Chelsea FC,Nathan Aké,https://www.transfermarkt.co.uk/nathan-ake/profil/spieler/177476
Chelsea FC,Tomas Kalas,https://www.transfermarkt.co.uk/tomas-kalas/profil/spieler/148657
Chelsea FC,Michael Hector,https://www.transfermarkt.co.uk/michael-hector/profil/spieler/157490
Chelsea FC,Kenneth Omeruo,https://www.transfermarkt.co.uk/kenneth-omeruo/profil/spieler/131708
Chelsea FC,Matt Miazga,https://www.transfermarkt.co.uk/matt-miazga/profil/spieler/245893
Chelsea FC,John Terry,https://www.transfermarkt.co.uk/john-terry/profil/spieler/3160
Chelsea FC,Marcos Alonso,https://www.transfermarkt.co.uk/marcos-alonso/profil/spieler/112515
Chelsea FC,Abdul Rahman Baba,https://www.transfermarkt.co.uk/abdul-rahman-baba/profil/spieler/224884
Chelsea FC,Branislav Ivanovic,https://www.transfermarkt.co.uk/branislav-ivanovic/profil/spieler/36827
Chelsea FC,Todd Kane,https://www.transfermarkt.co.uk/todd-kane/profil/spieler/154287
Chelsea FC,Wallace Oliveira,https://www.transfermarkt.co.uk/wallace-oliveira/profil/spieler/181779
Chelsea FC,Ola Aina,https://www.transfermarkt.co.uk/ola-aina/profil/spieler/236490
Chelsea FC,N'Golo Kanté,https://www.transfermarkt.co.uk/ngolo-kante/profil/spieler/225083
Chelsea FC,Nemanja Matic,https://www.transfermarkt.co.uk/nemanja-matic/profil/spieler/74683
Chelsea FC,Nathaniel Chalobah,https://www.transfermarkt.co.uk/nathaniel-chalobah/profil/spieler/128900
Chelsea FC,Cesc Fàbregas,https://www.transfermarkt.co.uk/cesc-fabregas/profil/spieler/8806
Chelsea FC,Mario Pasalic,https://www.transfermarkt.co.uk/mario-pasalic/profil/spieler/205938
Chelsea FC,Marco van Ginkel,https://www.transfermarkt.co.uk/marco-van-ginkel/profil/spieler/147034
Chelsea FC,Lewis Baker,https://www.transfermarkt.co.uk/lewis-baker/profil/spieler/198589
Chelsea FC,Ruben Loftus-Cheek,https://www.transfermarkt.co.uk/ruben-loftus-cheek/profil/spieler/202886
Chelsea FC,Victorien Angban,https://www.transfermarkt.co.uk/victorien-angban/profil/spieler/178314
Chelsea FC,Juan Cuadrado,https://www.transfermarkt.co.uk/juan-cuadrado/profil/spieler/91970
Chelsea FC,Oscar,https://www.transfermarkt.co.uk/oscar/profil/spieler/85314
Chelsea FC,Lucas Piazón,https://www.transfermarkt.co.uk/lucas-piazon/profil/spieler/176485
Chelsea FC,Nathan,https://www.transfermarkt.co.uk/nathan/profil/spieler/294798
Chelsea FC,Danilo Pantic,https://www.transfermarkt.co.uk/danilo-pantic/profil/spieler/222830
Chelsea FC,Eden Hazard,https://www.transfermarkt.co.uk/eden-hazard/profil/spieler/50202
Chelsea FC,Willian,https://www.transfermarkt.co.uk/willian/profil/spieler/52769
Chelsea FC,Kenedy,https://www.transfermarkt.co.uk/kenedy/profil/spieler/281404
Chelsea FC,Christian Atsu,https://www.transfermarkt.co.uk/christian-atsu/profil/spieler/186997
Chelsea FC,Jérémie Boga,https://www.transfermarkt.co.uk/jeremie-boga/profil/spieler/216569
Chelsea FC,Cristian Cuevas,https://www.transfermarkt.co.uk/cristian-cuevas/profil/spieler/186863
Chelsea FC,Pedro,https://www.transfermarkt.co.uk/pedro/profil/spieler/65278
Chelsea FC,Victor Moses,https://www.transfermarkt.co.uk/victor-moses/profil/spieler/59866
Chelsea FC,Bertrand Traoré,https://www.transfermarkt.co.uk/bertrand-traore/profil/spieler/131996
Chelsea FC,Diego Costa,https://www.transfermarkt.co.uk/diego-costa/profil/spieler/44779
Chelsea FC,Michy Batshuayi,https://www.transfermarkt.co.uk/michy-batshuayi/profil/spieler/179184
Chelsea FC,Loïc Rémy,https://www.transfermarkt.co.uk/loic-remy/profil/spieler/45121
Chelsea FC,Dominic Solanke,https://www.transfermarkt.co.uk/dominic-solanke/profil/spieler/258889
Manchester City,Joe Hart,https://www.transfermarkt.co.uk/joe-hart/profil/spieler/40204
Manchester City,Claudio Bravo,https://www.transfermarkt.co.uk/claudio-bravo/profil/spieler/40423
Manchester City,Willy Caballero,https://www.transfermarkt.co.uk/willy-caballero/profil/spieler/19948
Manchester City,Angus Gunn,https://www.transfermarkt.co.uk/angus-gunn/profil/spieler/201574
Manchester City,John Stones,https://www.transfermarkt.co.uk/john-stones/profil/spieler/186590
Manchester City,Nicolás Otamendi,https://www.transfermarkt.co.uk/nicolas-otamendi/profil/spieler/54781
Manchester City,Vincent Kompany,https://www.transfermarkt.co.uk/vincent-kompany/profil/spieler/9594
Manchester City,Eliaquim Mangala,https://www.transfermarkt.co.uk/eliaquim-mangala/profil/spieler/90681
Manchester City,Tosin Adarabioyo,https://www.transfermarkt.co.uk/tosin-adarabioyo/profil/spieler/258878
Manchester City,Aleksandar Kolarov,https://www.transfermarkt.co.uk/aleksandar-kolarov/profil/spieler/46156
Manchester City,Gaël Clichy,https://www.transfermarkt.co.uk/gael-clichy/profil/spieler/7449
Manchester City,Oleksandr Zinchenko,https://www.transfermarkt.co.uk/oleksandr-zinchenko/profil/spieler/203853
Manchester City,Angeliño,https://www.transfermarkt.co.uk/angelino/profil/spieler/277179
Manchester City,Jesús Navas,https://www.transfermarkt.co.uk/jesus-navas/profil/spieler/15956
Manchester City,Pablo Zabaleta,https://www.transfermarkt.co.uk/pablo-zabaleta/profil/spieler/20007
Manchester City,Bacary Sagna,https://www.transfermarkt.co.uk/bacary-sagna/profil/spieler/26764
Manchester City,Pablo Maffeo,https://www.transfermarkt.co.uk/pablo-maffeo/profil/spieler/251876
Manchester City,Fernandinho,https://www.transfermarkt.co.uk/fernandinho/profil/spieler/26267
Manchester City,Fernando,https://www.transfermarkt.co.uk/fernando/profil/spieler/51174
Manchester City,İlkay Gündoğan,https://www.transfermarkt.co.uk/ilkay-gundogan/profil/spieler/53622
Manchester City,Fabian Delph,https://www.transfermarkt.co.uk/fabian-delph/profil/spieler/50362
Manchester City,Yaya Touré,https://www.transfermarkt.co.uk/yaya-toure/profil/spieler/13091
Manchester City,Aleix García,https://www.transfermarkt.co.uk/aleix-garcia/profil/spieler/261504
Manchester City,Kevin De Bruyne,https://www.transfermarkt.co.uk/kevin-de-bruyne/profil/spieler/88755
Manchester City,David Silva,https://www.transfermarkt.co.uk/david-silva/profil/spieler/35518
Manchester City,Samir Nasri,https://www.transfermarkt.co.uk/samir-nasri/profil/spieler/18935
Manchester City,Nolito,https://www.transfermarkt.co.uk/nolito/profil/spieler/70934
Manchester City,Raheem Sterling,https://www.transfermarkt.co.uk/raheem-sterling/profil/spieler/134425
Manchester City,Leroy Sané,https://www.transfermarkt.co.uk/leroy-sane/profil/spieler/192565
